"","Table.Name","State.Code","District.Code","Tehsil.Code","Area.Name","Total..Rural..Urban","Age.group","Total.population...Persons","Total.population...Males","Total.population...Females","Population.attending.educational.institutions...Persons","Population.attending.educational.institutions...Males","Population.attending.educational.institutions...Females","Illiterate...Persons","Illiterate...Males","Illiterate...Females","Literate...Persons","Literate...Males","Literate...Females","Literate.without.educational.level...Persons","Literate.without.educational.level...Males","Literate.without.educational.level...Females","Below.primary...Persons","Below.primary...Males","Below.primary...Females","Primary...Persons","Primary...Males","Primary...Females","Middle...Persons","Middle...Males","Middle...Females","Matric.Secondary...Persons","Matric.Secondary...Males","Matric.Secondary...Females","Higher.secondary.Intermediate.Pre.University.Senior.secondary...Persons","Higher.secondary.Intermediate.Pre.University.Senior.secondary...Males","Higher.secondary.Intermediate.Pre.University.Senior.secondary...Females","Non.technical.diploma.or.certificate.not.equal.to.degree...Persons","Non.technical.diploma.or.certificate.not.equal.to.degree...Males","Non.technical.diploma.or.certificate.not.equal.to.degree...Females","Technical.diploma.or.certificate.not.equal.to.degree...Persons","Technical.diploma.or.certificate.not.equal.to.degree...Males","Technical.diploma.or.certificate.not.equal.to.degree...Females","Graduate...above...Persons","Graduate...above...Males","Graduate...above...Females","Unclassified...Persons","Unclassified...Males","Unclassified...Females"
"37","C3311",0,0,0,"INDIA","Rural","16",15480193,8277681,7202512,6903655,4302098,2601557,73393,27723,45670,6830262,4274375,2555887,48222,25070,23152,295336,176915,118421,1133616,719127,414489,2776131,1798028,978103,2576185,1554688,1021497,0,0,0,0,0,0,0,0,0,0,0,0,772,547,225
"38","C3311",0,0,0,"INDIA","Rural","17",9889295,5342038,4547257,4027838,2554445,1473393,37625,14140,23485,3990213,2540305,1449908,27769,14963,12806,121776,73233,48543,394688,252239,142449,1114480,754444,360036,2330989,1445037,885952,0,0,0,0,0,0,0,0,0,0,0,0,511,389,122
"39","C3311",0,0,0,"INDIA","Rural","18",19632050,10731079,8900971,5194024,3557903,1636121,73890,29166,44724,5120134,3528737,1591397,60443,33162,27281,189163,119321,69842,450736,305407,145329,1136723,832084,304639,1743668,1245292,498376,1485429,948696,536733,4271,3212,1059,48699,40832,7867,0,0,0,1002,731,271
"40","C3311",0,0,0,"INDIA","Rural","19",8737577,4477390,4260187,2124268,1422745,701523,30755,10962,19793,2093513,1411783,681730,25255,13011,12244,93586,55541,38045,136359,86773,49586,289422,207773,81649,548655,398836,149819,956730,614603,342127,3039,2241,798,39879,32562,7317,0,0,0,588,443,145
"41","C3311",0,0,0,"INDIA","Rural","20-24",61398904,31127482,30271422,6229997,4451288,1778709,201834,66168,135666,6028163,4385120,1643043,174947,76145,98802,198540,118591,79949,358154,230469,127685,617050,457425,159625,1122799,861784,261015,2344058,1722375,621683,10091,8079,2012,124039,104770,19269,1075813,803393,272420,2672,2089,583
"42","C3311",0,0,0,"INDIA","Rural","25-29",57685140,28377173,29307967,972633,626970,345663,148620,44446,104174,824013,582524,241489,163009,57859,105150,35576,12937,22639,9875,5271,4604,6988,4617,2371,61540,47004,14536,172503,138605,33898,1648,1403,245,15601,13641,1960,356490,300615,55875,783,572,211
"43","C3311",0,0,0,"INDIA","Rural","30-34",51828879,25688779,26140100,496277,238884,257393,148231,46435,101796,348046,192449,155597,160684,57822,102862,32943,12541,20402,7191,3838,3353,4155,2684,1471,22254,16727,5527,39263,30579,8684,459,376,83,4090,3357,733,76640,64318,12322,367,207,160
"44","C3311",0,0,0,"INDIA","Rural","35-59",166227384,85711181,80516203,791385,391452,399933,277518,94929,182589,513867,296523,217344,272985,121171,151814,55689,26186,29503,17867,11077,6790,9216,6757,2459,38074,30991,7083,40362,32456,7906,672,526,146,5071,3903,1168,73268,63077,10191,663,379,284
"45","C3311",0,0,0,"INDIA","Rural","60+",57444714,28359605,29085109,96520,57912,38608,38174,15446,22728,58346,42466,15880,22708,14734,7974,6846,4514,2332,3325,2576,749,1294,1068,226,6550,5484,1066,7810,5967,1843,126,106,20,524,435,89,9091,7531,1560,72,51,21
"46","C3311",0,0,0,"INDIA","Rural","Age not stated",1896818,1035395,861423,17674,11168,6506,2390,927,1463,15284,10241,5043,3008,1532,1476,1079,574,505,409,275,134,208,139,69,2310,1650,660,4013,2884,1129,36,26,10,220,181,39,3907,2904,1003,94,76,18
"47","C3311",0,0,0,"INDIA","Urban","All ages",286119689,150554098,135565591,73119240,39768604,33350636,7758437,4019368,3739069,65360803,35749236,29611567,281415,168006,113409,21715382,11707607,10007775,16392900,8784660,7608240,10058230,5432882,4625348,7851459,4299041,3552418,5988393,3362522,2625871,39602,28527,11075,319024,247535,71489,2701802,1709730,992072,12596,8726,3870
"48","C3311",0,0,0,"INDIA","Urban","0-4",25338754,13262414,12076340,1340744,710647,630097,1340744,710647,630097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","C3311",0,0,0,"INDIA","Urban","5",6189990,3293903,2896087,1934260,1040179,894081,1934260,1040179,894081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","C3311",0,0,0,"INDIA","Urban","6",5820373,3035238,2785135,3006957,1582353,1424604,3006957,1582353,1424604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","C3311",0,0,0,"INDIA","Urban","7",5684527,2960071,2724456,4657626,2452990,2204636,520780,267235,253545,4136846,2185755,1951091,17042,9394,7648,4118930,2175869,1943061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,492,382
"52","C3311",0,0,0,"INDIA","Urban","8",7049350,3698952,3350398,5920510,3145869,2774641,305867,151980,153887,5614643,2993889,2620754,17224,9419,7805,5596703,2984056,2612647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,414,302
"53","C3311",0,0,0,"INDIA","Urban","9",5116305,2651971,2464334,4555626,2381722,2173904,130068,61343,68725,4425558,2320379,2105179,10503,5878,4625,3961794,2090121,1871673,452896,224139,228757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,241,124
